Time	Cycle	PC	Insn	Decoded instruction	Register and memory contents
           1932	       962	001000bc	0512	c.slli	x10,0x4	 x10:0x4e600000 x10=0xe6000000
           1936	       964	001000be	f77d	c.bnez	x14,1000ac	 x14:0x00000002
           1940	       966	001000ac	01c55793	srli	x15,x10,0x1c	 x10:0xe6000000 x15=0x0000000e
           1944	       968	001000b0	00f66963	bltu	x12,x15,1000c2	 x12:0x00000009 x15:0x0000000e  x0=0x00000000
           1950	       971	001000c2	03778793	addi	x15,x15,55	 x15:0x0000000e x15=0x00000045
           1954	       973	001000c6	bfcd	c.j	1000b8	
           1958	       975	001000b8	c29c	c.sw	x15,0(x13)	 x13:0x00020000 x15:0x00000045 PA:0x00020000 store:0x00000045 load:0x00000000
           1960	       976	001000ba	177d	c.addi	x14,-1	 x14:0x00000002 x14=0x00000001
           1962	       977	001000bc	0512	c.slli	x10,0x4	 x10:0xe6000000 x10=0x60000000
           1966	       979	001000be	f77d	c.bnez	x14,1000ac	 x14:0x00000001
           1970	       981	001000ac	01c55793	srli	x15,x10,0x1c	 x10:0x60000000 x15=0x00000006
           1972	       982	001000b0	00f66963	bltu	x12,x15,1000c2	 x12:0x00000009 x15:0x00000006  x0=0x00000000
           1974	       983	001000b4	03078793	addi	x15,x15,48	 x15:0x00000006 x15=0x00000036
           1978	       985	001000b8	c29c	c.sw	x15,0(x13)	 x13:0x00020000 x15:0x00000036 PA:0x00020000 store:0x00000036 load:0x00000000
           1980	       986	001000ba	177d	c.addi	x14,-1	 x14:0x00000001 x14=0x00000000
           1982	       987	001000bc	0512	c.slli	x10,0x4	 x10:0x60000000 x10=0x00000000
           1984	       988	001000be	f77d	c.bnez	x14,1000ac	 x14:0x00000000
           1988	       990	001000c0	8082	c.jr	x1	  x1:0x00100526
           1992	       992	00100526	00000517	auipc	x10,0x0	 x10=0x00100526
           1994	       993	0010052a	03250513	addi	x10,x10,50	 x10:0x00100526 x10=0x00100558
           1998	       995	0010052e	368d	c.jal	100090	  x1=0x00100530
           2000	       996	00100090	00020737	lui	x14,0x20	 x14=0x00020000
           2004	       998	00100094	00054783	lbu	x15,0(x10)	 x10:0x00100558 x15=0x0000000a PA:0x00100558 store:0x00000000
           2008	      1000	00100098	e399	c.bnez	x15,10009e	 x15:0x0000000a
           2012	      1002	0010009e	0505	c.addi	x10,1	 x10:0x00100558 x10=0x00100559
           2016	      1004	001000a0	c31c	c.sw	x15,0(x14)	 x14:0x00020000 x15:0x0000000a PA:0x00020000 store:0x0000000a load:0x00000000
           2020	      1006	001000a2	bfcd	c.j	100094	
           2024	      1008	00100094	00054783	lbu	x15,0(x10)	 x10:0x00100559 x15=0x00000000 PA:0x00100559 store:0x00000000
           2026	      1009	00100098	e399	c.bnez	x15,10009e	 x15:0x00000000
           2028	      1010	0010009a	4501	c.li	x10,0	 x10=0x00000000
           2032	      1012	0010009c	8082	c.jr	x1	  x1:0x00100530
           2038	      1015	00100530	c004	c.sw	x9,0(x8)	  x8:0x00040000  x9:0x80000007 PA:0x00040000 store:0x80000007 load:0x000044e6
           2042	      1017	00100532	4008	c.lw	x10,0(x8)	  x8:0x00040000 x10=0x000044e6 PA:0x00040000 store:0x00000000
           2046	      1019	00100534	3e85	c.jal	1000a4	  x1=0x00100536
           2048	      1020	001000a4	4721	c.li	x14,8	 x14=0x00000008
           2050	      1021	001000a6	4625	c.li	x12,9	 x12=0x00000009
           2052	      1022	001000a8	000206b7	lui	x13,0x20	 x13=0x00020000
           2054	      1023	001000ac	01c55793	srli	x15,x10,0x1c	 x10:0x000044e6 x15=0x00000000
           2056	      1024	001000b0	00f66963	bltu	x12,x15,1000c2	 x12:0x00000009 x15:0x00000000  x0=0x00000000
           2058	      1025	001000b4	03078793	addi	x15,x15,48	 x15:0x00000000 x15=0x00000030
           2062	      1027	001000b8	c29c	c.sw	x15,0(x13)	 x13:0x00020000 x15:0x00000030 PA:0x00020000 store:0x00000030 load:0x00000000
           2064	      1028	001000ba	177d	c.addi	x14,-1	 x14:0x00000008 x14=0x00000007
           2066	      1029	001000bc	0512	c.slli	x10,0x4	 x10:0x000044e6 x10=0x00044e60
           2070	      1031	001000be	f77d	c.bnez	x14,1000ac	 x14:0x00000007
           2074	      1033	001000ac	01c55793	srli	x15,x10,0x1c	 x10:0x00044e60 x15=0x00000000
           2076	      1034	001000b0	00f66963	bltu	x12,x15,1000c2	 x12:0x00000009 x15:0x00000000  x0=0x00000000
           2078	      1035	001000b4	03078793	addi	x15,x15,48	 x15:0x00000000 x15=0x00000030
           2082	      1037	001000b8	c29c	c.sw	x15,0(x13)	 x13:0x00020000 x15:0x00000030 PA:0x00020000 store:0x00000030 load:0x00000000
           2084	      1038	001000ba	177d	c.addi	x14,-1	 x14:0x00000007 x14=0x00000006
           2086	      1039	001000bc	0512	c.slli	x10,0x4	 x10:0x00044e60 x10=0x0044e600
           2090	      1041	001000be	f77d	c.bnez	x14,1000ac	 x14:0x00000006
           2094	      1043	001000ac	01c55793	srli	x15,x10,0x1c	 x10:0x0044e600 x15=0x00000000
           2096	      1044	001000b0	00f66963	bltu	x12,x15,1000c2	 x12:0x00000009 x15:0x00000000  x0=0x00000000
           2098	      1045	001000b4	03078793	addi	x15,x15,48	 x15:0x00000000 x15=0x00000030
           2102	      1047	001000b8	c29c	c.sw	x15,0(x13)	 x13:0x00020000 x15:0x00000030 PA:0x00020000 store:0x00000030 load:0x00000000
           2104	      1048	001000ba	177d	c.addi	x14,-1	 x14:0x00000006 x14=0x00000005
           2106	      1049	001000bc	0512	c.slli	x10,0x4	 x10:0x0044e600 x10=0x044e6000
           2110	      1051	001000be	f77d	c.bnez	x14,1000ac	 x14:0x00000005
           2114	      1053	001000ac	01c55793	srli	x15,x10,0x1c	 x10:0x044e6000 x15=0x00000000
           2116	      1054	001000b0	00f66963	bltu	x12,x15,1000c2	 x12:0x00000009 x15:0x00000000  x0=0x00000000
           2118	      1055	001000b4	03078793	addi	x15,x15,48	 x15:0x00000000 x15=0x00000030
           2122	      1057	001000b8	c29c	c.sw	x15,0(x13)	 x13:0x00020000 x15:0x00000030 PA:0x00020000 store:0x00000030 load:0x00000000
           2124	      1058	001000ba	177d	c.addi	x14,-1	 x14:0x00000005 x14=0x00000004
           2126	      1059	001000bc	0512	c.slli	x10,0x4	 x10:0x044e6000 x10=0x44e60000
           2130	      1061	001000be	f77d	c.bnez	x14,1000ac	 x14:0x00000004
           2134	      1063	001000ac	01c55793	srli	x15,x10,0x1c	 x10:0x44e60000 x15=0x00000004
           2136	      1064	001000b0	00f66963	bltu	x12,x15,1000c2	 x12:0x00000009 x15:0x00000004  x0=0x00000000
           2138	      1065	001000b4	03078793	addi	x15,x15,48	 x15:0x00000004 x15=0x00000034
           2142	      1067	001000b8	c29c	c.sw	x15,0(x13)	 x13:0x00020000 x15:0x00000034 PA:0x00020000 store:0x00000034 load:0x00000000
           2144	      1068	001000ba	177d	c.addi	x14,-1	 x14:0x00000004 x14=0x00000003
           2146	      1069	001000bc	0512	c.slli	x10,0x4	 x10:0x44e60000 x10=0x4e600000
           2150	      1071	001000be	f77d	c.bnez	x14,1000ac	 x14:0x00000003
           2154	      1073	001000ac	01c55793	srli	x15,x10,0x1c	 x10:0x4e600000 x15=0x00000004
           2156	      1074	001000b0	00f66963	bltu	x12,x15,1000c2	 x12:0x00000009 x15:0x00000004  x0=0x00000000
           2158	      1075	001000b4	03078793	addi	x15,x15,48	 x15:0x00000004 x15=0x00000034
           2162	      1077	001000b8	c29c	c.sw	x15,0(x13)	 x13:0x00020000 x15:0x00000034 PA:0x00020000 store:0x00000034 load:0x00000000
           2164	      1078	001000ba	177d	c.addi	x14,-1	 x14:0x00000003 x14=0x00000002
           2166	      1079	001000bc	0512	c.slli	x10,0x4	 x10:0x4e600000 x10=0xe6000000
           2170	      1081	001000be	f77d	c.bnez	x14,1000ac	 x14:0x00000002
           2174	      1083	001000ac	01c55793	srli	x15,x10,0x1c	 x10:0xe6000000 x15=0x0000000e
           2178	      1085	001000b0	00f66963	bltu	x12,x15,1000c2	 x12:0x00000009 x15:0x0000000e  x0=0x00000000
           2184	      1088	001000c2	03778793	addi	x15,x15,55	 x15:0x0000000e x15=0x00000045
           2188	      1090	001000c6	bfcd	c.j	1000b8	
           2192	      1092	001000b8	c29c	c.sw	x15,0(x13)	 x13:0x00020000 x15:0x00000045 PA:0x00020000 store:0x00000045 load:0x00000000
           2194	      1093	001000ba	177d	c.addi	x14,-1	 x14:0x00000002 x14=0x00000001
           2196	      1094	001000bc	0512	c.slli	x10,0x4	 x10:0xe6000000 x10=0x60000000
           2200	      1096	001000be	f77d	c.bnez	x14,1000ac	 x14:0x00000001
           2204	      1098	001000ac	01c55793	srli	x15,x10,0x1c	 x10:0x60000000 x15=0x00000006
           2206	      1099	001000b0	00f66963	bltu	x12,x15,1000c2	 x12:0x00000009 x15:0x00000006  x0=0x00000000
           2208	      1100	001000b4	03078793	addi	x15,x15,48	 x15:0x00000006 x15=0x00000036
           2212	      1102	001000b8	c29c	c.sw	x15,0(x13)	 x13:0x00020000 x15:0x00000036 PA:0x00020000 store:0x00000036 load:0x00000000
           2214	      1103	001000ba	177d	c.addi	x14,-1	 x14:0x00000001 x14=0x00000000
           2216	      1104	001000bc	0512	c.slli	x10,0x4	 x10:0x60000000 x10=0x00000000
           2218	      1105	001000be	f77d	c.bnez	x14,1000ac	 x14:0x00000000
           2222	      1107	001000c0	8082	c.jr	x1	  x1:0x00100536
           2226	      1109	00100536	00000517	auipc	x10,0x0	 x10=0x00100536
           2228	      1110	0010053a	02250513	addi	x10,x10,34	 x10:0x00100536 x10=0x00100558
           2232	      1112	0010053e	3e89	c.jal	100090	  x1=0x00100540
           2234	      1113	00100090	00020737	lui	x14,0x20	 x14=0x00020000
           2238	      1115	00100094	00054783	lbu	x15,0(x10)	 x10:0x00100558 x15=0x0000000a PA:0x00100558 store:0x00000000
           2242	      1117	00100098	e399	c.bnez	x15,10009e	 x15:0x0000000a
           2246	      1119	0010009e	0505	c.addi	x10,1	 x10:0x00100558 x10=0x00100559
           2250	      1121	001000a0	c31c	c.sw	x15,0(x14)	 x14:0x00020000 x15:0x0000000a PA:0x00020000 store:0x0000000a load:0x00000000
           2254	      1123	001000a2	bfcd	c.j	100094	
           2258	      1125	00100094	00054783	lbu	x15,0(x10)	 x10:0x00100559 x15=0x00000000 PA:0x00100559 store:0x00000000
           2260	      1126	00100098	e399	c.bnez	x15,10009e	 x15:0x00000000
           2262	      1127	0010009a	4501	c.li	x10,0	 x10=0x00000000
           2266	      1129	0010009c	8082	c.jr	x1	  x1:0x00100540
           2270	      1131	00100540	40b2	c.lwsp	x1,12(x2)	  x2:0x001ffff0  x1=0x001003c6 PA:0x001ffffc store:0x00000009
           2274	      1133	00100542	4422	c.lwsp	x8,8(x2)	  x2:0x001ffff0  x8=0x00000000 PA:0x001ffff8 store:0x00040000
           2278	      1135	00100544	4492	c.lwsp	x9,4(x2)	  x2:0x001ffff0  x9=0x00000000 PA:0x001ffff4 store:0x00000000
           2280	      1136	00100546	4501	c.li	x10,0	 x10=0x00000000
           2282	      1137	00100548	0141	c.addi	x2,16	  x2:0x001ffff0  x2=0x00200000
           2286	      1139	0010054a	8082	c.jr	x1	  x1:0x001003c6
           2290	      1141	001003c6	000202b7	lui	x5,0x20	  x5=0x00020000
           2292	      1142	001003ca	02a1	c.addi	x5,8	  x5:0x00020000  x5=0x00020008
           2294	      1143	001003cc	4305	c.li	x6,1	  x6=0x00000001
           2298	      1145	001003ce	0062a023	sw	x6,0(x5)	  x5:0x00020008  x6:0x00000001 PA:0x00020008 store:0x00000001 load:0x00000000
